epoch,training_loss,eval_loss,accuracy,f1,precision,recall
1.0,0.6649,0.6865721940994263,0.6,0.75,0.6,1.0
2.0,0.5787,0.662109375,0.6,0.75,0.6,1.0
3.0,0.4017,0.6689940690994263,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666
4.0,0.2068,0.7832276225090027,0.65,0.6666666666666666,0.7777777777777778,0.5833333333333334
5.0,0.0767,0.8992369771003723,0.7,0.7272727272727273,0.8,0.6666666666666666
6.0,0.0318,0.9760665893554688,0.7,0.7272727272727273,0.8,0.6666666666666666
7.0,0.0211,1.1317062377929688,0.7,0.7272727272727273,0.8,0.6666666666666666
8.0,0.0077,1.1727491617202759,0.7,0.7272727272727273,0.8,0.6666666666666666
9.0,0.0037,1.2223680019378662,0.7,0.7272727272727273,0.8,0.6666666666666666
10.0,0.0032,1.2409662008285522,0.7,0.7272727272727273,0.8,0.6666666666666666
