epoch,training_loss,eval_loss,accuracy,f1,precision,recall
1.0,0.6394,0.6871092915534973,0.6,0.75,0.6,1.0
2.0,0.5571,0.6594725847244263,0.65,0.7741935483870968,0.631578947368421,1.0
3.0,0.3731,0.6824706196784973,0.45,0.47619047619047616,0.5555555555555556,0.4166666666666667
4.0,0.1671,0.7823241353034973,0.55,0.5263157894736842,0.7142857142857143,0.4166666666666667
5.0,0.0626,1.0470918416976929,0.55,0.5263157894736842,0.7142857142857143,0.4166666666666667
6.0,0.0236,1.2877919673919678,0.5,0.4444444444444444,0.6666666666666666,0.3333333333333333
7.0,0.0074,1.4694284200668335,0.55,0.47058823529411764,0.8,0.3333333333333333
8.0,0.003,1.1962522268295288,0.7,0.7272727272727273,0.8,0.6666666666666666
9.0,0.0023,1.2064063549041748,0.7,0.7272727272727273,0.8,0.6666666666666666
10.0,0.0019,1.2293493747711182,0.7,0.7272727272727273,0.8,0.6666666666666666
