epoch,training_loss,eval_loss,accuracy,f1,precision,recall
1.0,0.6395,0.6817871928215027,0.6,0.75,0.6,1.0
2.0,0.4832,0.67236328125,0.6,0.6363636363636364,0.7,0.5833333333333334
3.0,0.3265,0.5225096940994263,0.7,0.75,0.75,0.75
4.0,0.1498,0.45796504616737366,0.75,0.7619047619047619,0.8888888888888888,0.6666666666666666
5.0,0.0519,0.4636322557926178,0.75,0.7619047619047619,0.8888888888888888,0.6666666666666666
6.0,0.0164,0.5785506367683411,0.75,0.7619047619047619,0.8888888888888888,0.6666666666666666
