epoch,training_loss,eval_loss,accuracy,f1,precision,recall
1.0,0.6737,0.7015625834465027,0.6,0.75,0.6,1.0
2.0,0.5593,0.65966796875,0.55,0.6896551724137931,0.5882352941176471,0.8333333333333334
3.0,0.3865,0.6985839009284973,0.65,0.6956521739130435,0.7272727272727273,0.6666666666666666
4.0,0.205,0.7850464582443237,0.55,0.5263157894736842,0.7142857142857143,0.4166666666666667
5.0,0.0879,0.981292724609375,0.55,0.5263157894736842,0.7142857142857143,0.4166666666666667
6.0,0.0208,1.2081457376480103,0.65,0.6666666666666666,0.7777777777777778,0.5833333333333334
7.0,0.006,1.41377854347229,0.65,0.6666666666666666,0.7777777777777778,0.5833333333333334
8.0,0.0029,1.4854068756103516,0.7,0.7272727272727273,0.8,0.6666666666666666
9.0,0.0138,1.5628637075424194,0.65,0.6666666666666666,0.7777777777777778,0.5833333333333334
10.0,0.002,1.5842374563217163,0.65,0.6666666666666666,0.7777777777777778,0.5833333333333334
